Date,Hours Played,Likes,Replies,Recommendation
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
2019-06-29,2052.1,50191522,0,Recommended
2022-07-12,451.2,38716121,0,Recommended
2017-06-02,6669.6,8542440,0,Recommended
2014-03-15,3617.7,78662027,0,Recommended
2014-09-19,22887.1,91735840,0,Recommended
2020-03-08,2225.2,805827,0,Recommended
2019-02-21,4778.8,655665,0,Recommended
2024-07-03,163.8,71048064,0,Recommended
2023-09-28,1263.5,8932534,0,Recommended
2023-03-25,286.9,50331641,0,Recommended
2022-08-20,356.7,75142685,0,Recommended
2020-07-03,3091.3,2190,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
2019-06-29,2052.1,50191522,0,Recommended
2022-07-12,451.2,38716121,0,Recommended
2017-06-02,6669.6,8542440,0,Recommended
2014-03-15,3617.7,78662027,0,Recommended
2014-09-19,22887.1,91735840,0,Recommended
2020-03-08,2225.2,805827,0,Recommended
2019-02-21,4778.8,655665,0,Recommended
2024-07-03,163.8,71048064,0,Recommended
2023-09-28,1263.5,8932534,0,Recommended
2023-03-25,286.9,50331641,0,Recommended
2022-08-20,356.7,75142685,0,Recommended
2020-07-03,3091.3,2190,0,Recommended
2024-04-13,2869.3,37725171,0,Recommended
2021-08-10,13774.9,54447759,0,Recommended
2021-07-12,578.0,54525032,0,Recommended
2021-10-13,171.8,62440237,0,Recommended
2018-11-24,3828.2,17514,0,Recommended
2021-04-02,210.2,4893012,0,Recommended
2023-02-09,1034.8,38213018,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
2019-06-29,2052.1,50191522,0,Recommended
2022-07-12,451.2,38716121,0,Recommended
2017-06-02,6669.6,8542440,0,Recommended
2014-03-15,3617.7,78662027,0,Recommended
2014-09-19,22887.1,91735840,0,Recommended
2020-03-08,2225.2,805827,0,Recommended
2019-02-21,4778.8,655665,0,Recommended
2024-07-03,163.8,71048064,0,Recommended
2023-09-28,1263.5,8932534,0,Recommended
2023-03-25,286.9,50331641,0,Recommended
2022-08-20,356.7,75142685,0,Recommended
2020-07-03,3091.3,2190,0,Recommended
2024-04-13,2869.3,37725171,0,Recommended
2021-08-10,13774.9,54447759,0,Recommended
2021-07-12,578.0,54525032,0,Recommended
2021-10-13,171.8,62440237,0,Recommended
2018-11-24,3828.2,17514,0,Recommended
2021-04-02,210.2,4893012,0,Recommended
2023-02-09,1034.8,38213018,0,Recommended
2023-09-28,413.4,11593166700,0,Recommended
2024-01-10,6353.4,25934139,0,Recommended
2024-07-24,1482.3,3609870,0,Recommended
2021-12-28,2087.6,47510213,0,Recommended
2021-03-15,36.7,87527543,0,Recommended
2024-04-17,822.5,50728650,0,Recommended
2023-09-15,334.8,57173406240,0,Recommended
2023-09-28,560.3,12032129,0,Recommended
2017-11-23,2103.1,53124711,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
2019-06-29,2052.1,50191522,0,Recommended
2022-07-12,451.2,38716121,0,Recommended
2017-06-02,6669.6,8542440,0,Recommended
2014-03-15,3617.7,78662027,0,Recommended
2014-09-19,22887.1,91735840,0,Recommended
2020-03-08,2225.2,805827,0,Recommended
2019-02-21,4778.8,655665,0,Recommended
2024-07-03,163.8,71048064,0,Recommended
2023-09-28,1263.5,8932534,0,Recommended
2023-03-25,286.9,50331641,0,Recommended
2022-08-20,356.7,75142685,0,Recommended
2020-07-03,3091.3,2190,0,Recommended
2024-04-13,2869.3,37725171,0,Recommended
2021-08-10,13774.9,54447759,0,Recommended
2021-07-12,578.0,54525032,0,Recommended
2021-10-13,171.8,62440237,0,Recommended
2018-11-24,3828.2,17514,0,Recommended
2021-04-02,210.2,4893012,0,Recommended
2023-02-09,1034.8,38213018,0,Recommended
2023-09-28,413.4,11593166700,0,Recommended
2024-01-10,6353.4,25934139,0,Recommended
2024-07-24,1482.3,3609870,0,Recommended
2021-12-28,2087.6,47510213,0,Recommended
2021-03-15,36.7,87527543,0,Recommended
2024-04-17,822.5,50728650,0,Recommended
2023-09-15,334.8,57173406240,0,Recommended
2023-09-28,560.3,12032129,0,Recommended
2017-11-23,2103.1,53124711,0,Recommended
2023-08-20,2394.2,88524347,0,Recommended
2024-08-14,639.5,48613631,0,Recommended
2023-06-14,6768.3,2699511,0,Recommended
2020-07-20,638.0,51716261,0,Recommended
2024-10-03,2017.5,108530201,0,Recommended
2021-02-04,7.8,78566496,0,Recommended
2023-11-26,5.6,92253773,0,Recommended
2020-09-04,727.2,10781031195,0,Recommended
2016-07-29,1151.4,1656184125,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
2019-06-29,2052.1,50191522,0,Recommended
2022-07-12,451.2,38716121,0,Recommended
2017-06-02,6669.6,8542440,0,Recommended
2014-03-15,3617.7,78662027,0,Recommended
2014-09-19,22887.1,91735840,0,Recommended
2020-03-08,2225.2,805827,0,Recommended
2019-02-21,4778.8,655665,0,Recommended
2024-07-03,163.8,71048064,0,Recommended
2023-09-28,1263.5,8932534,0,Recommended
2023-03-25,286.9,50331641,0,Recommended
2022-08-20,356.7,75142685,0,Recommended
2020-07-03,3091.3,2190,0,Recommended
2024-04-13,2869.3,37725171,0,Recommended
2021-08-10,13774.9,54447759,0,Recommended
2021-07-12,578.0,54525032,0,Recommended
2021-10-13,171.8,62440237,0,Recommended
2018-11-24,3828.2,17514,0,Recommended
2021-04-02,210.2,4893012,0,Recommended
2023-02-09,1034.8,38213018,0,Recommended
2023-09-28,413.4,11593166700,0,Recommended
2024-01-10,6353.4,25934139,0,Recommended
2024-07-24,1482.3,3609870,0,Recommended
2021-12-28,2087.6,47510213,0,Recommended
2021-03-15,36.7,87527543,0,Recommended
2024-04-17,822.5,50728650,0,Recommended
2023-09-15,334.8,57173406240,0,Recommended
2023-09-28,560.3,12032129,0,Recommended
2017-11-23,2103.1,53124711,0,Recommended
2023-08-20,2394.2,88524347,0,Recommended
2024-08-14,639.5,48613631,0,Recommended
2023-06-14,6768.3,2699511,0,Recommended
2020-07-20,638.0,51716261,0,Recommended
2024-10-03,2017.5,108530201,0,Recommended
2021-02-04,7.8,78566496,0,Recommended
2023-11-26,5.6,92253773,0,Recommended
2020-09-04,727.2,10781031195,0,Recommended
2016-07-29,1151.4,1656184125,0,Recommended
2022-11-29,8496.9,62422488,0,Recommended
2017-02-22,25685.5,107381813,0,Recommended
2023-07-26,1694.8,35822016,0,Recommended
2018-08-17,542.7,9214545,0,Recommended
2022-04-30,417.3,32017212,0,Recommended
2022-07-06,46.0,59033533,0,Recommended
2022-01-24,1334.6,56023660,0,Recommended
2023-09-28,4.6,11361028,0,Recommended
2016-10-19,2711.8,7334249450,0,Recommended
2020-11-02,1895.9,21331564346,0,Recommended
2019-11-04,8154.3,180222395,0,Recommended
2023-07-15,11.9,90537246,0,Recommended
2023-08-14,172.1,91832445,0,Recommended
2017-01-05,9354.1,105544360,0,Recommended
2022-01-20,1691.2,87440560,0,Recommended
2023-09-20,13.0,76384456287,0,Recommended
2021-02-11,7177.9,1203252100,0,Recommended
2022-10-29,638.0,62417129,0,Recommended
2021-06-07,2456.9,122070577,0,Recommended
2023-06-13,5.2,100641165,0,Recommended
2023-09-28,574.7,62813488326,0,Recommended
2021-11-03,3564.2,88761789,0,Recommended
2021-03-01,20201.4,20771181266,0,Recommended
2022-02-28,2054.6,65339971,0,Recommended
2016-07-05,8316.0,71516739,0,Recommended
2023-03-22,2400.5,88323144,0,Recommended
2021-01-06,201.1,16751030149,0,Recommended
2021-11-03,4428.4,51321410,0,Recommended
2017-03-02,1770.6,2561291,0,Recommended
2021-03-20,172.3,1631808121,0,Recommended
2021-06-24,155.2,84448972,0,Recommended
2021-09-01,194.2,102216628,0,Recommended
2024-06-30,10244.1,15117459,0,Recommended
2020-10-24,4340.8,787138413,0,Recommended
2024-03-24,10378.7,132130108,0,Recommended
2017-06-05,2415.3,12579357848,0,Recommended
2023-10-01,4858.8,111127268,0,Recommended
2021-11-02,3415.9,51654,0,Recommended
2020-08-17,73.0,64353991,0,Recommended
2016-02-17,946.4,921211228,0,Recommended
2024-04-25,1111.4,71435939,0,Recommended
2017-12-21,9621.4,2458824,0,Recommended
2024-06-17,54.4,103046343,0,Recommended
2020-09-09,196.7,797417124,0,Recommended
2020-08-10,239.0,1261962229,0,Recommended
2018-01-16,12584.3,3442689,0,Recommended
